date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-08-13,336.61,338.2514,335.83,336.83,309.32748133721446,41816146,0.0000,1.0
2020-08-14,336.41,337.42,335.62,336.84,309.33666482684833,47260390,0.0000,1.0
2020-08-17,337.94,338.34,336.8517,337.91,310.31929821767113,34496002,0.0000,1.0
2020-08-18,338.34,339.1,336.61,338.64,310.98969296094265,38733908,0.0000,1.0
2020-08-19,339.05,339.61,336.62,337.23,309.6948209225688,68054244,0.0000,1.0
2020-08-20,335.36,338.8,335.22,338.28,310.6590873341238,42207826,0.0000,1.0
2020-08-21,337.92,339.72,337.55,339.48,311.7611060901867,55106628,0.0000,1.0
2020-08-24,342.12,343.0,339.4504,342.92,314.9202265242336,48588662,0.0000,1.0
2020-08-25,343.53,344.21,342.27,344.12,316.02224528029643,38463381,0.0000,1.0
2020-08-26,344.76,347.86,344.17,347.57,319.1905492039772,50790237,0.0000,1.0
2020-08-27,348.51,349.9,346.53,348.33,319.88849441615037,58034142,0.0000,1.0
2020-08-28,349.44,350.72,348.15,350.58,321.95477958376824,48588940,0.0000,1.0
2020-08-31,350.35,351.3,349.06,349.31,320.7884764002684,66099183,0.0000,1.0
2020-09-01,350.21,352.71,349.24,352.6,323.80984448980746,54999325,0.0000,1.0
2020-09-02,354.67,358.75,353.43,357.7,328.4934242030746,69540035,0.0000,1.0
2020-09-03,355.87,356.38,342.59,345.39,317.18854846379634,148011129,0.0000,1.0
2020-09-04,346.13,347.83,334.87,342.57,314.5988043870486,139156281,0.0000,1.0
2020-09-08,336.71,342.64,332.88,333.21,306.00305808975816,114465322,0.0000,1.0
2020-09-09,337.55,342.46,336.61,339.79,312.0457942688363,91462290,0.0000,1.0
2020-09-10,341.82,342.53,332.85,333.89,306.62753538486044,90569548,0.0000,1.0
2020-09-11,335.82,336.97,331.0,334.06,306.78365470863605,84680194,0.0000,1.0
2020-09-14,337.49,340.38,334.2208,338.46,310.8243901475332,65605686,0.0000,1.0
2020-09-15,341.12,342.02,338.4683,340.17,312.3947668749228,52920862,0.0000,1.0
2020-09-16,341.51,343.06,338.52,338.82,311.1549957743521,82211256,0.0000,1.0
2020-09-17,333.56,337.6996,332.991,335.84,308.4183158634626,91523339,0.0000,1.0
2020-09-18,335.37,335.49,327.97,330.65,304.8819597156319,105877942,1.3392,1.0
2020-09-21,325.7,327.13,321.73,326.97,301.4887475222144,99450829,0.0000,1.0
2020-09-22,328.57,330.9,325.86,330.3,304.55923572984494,63612107,0.0000,1.0
2020-09-23,330.9,331.2,322.1,322.64,297.4961907837638,93112240,0.0000,1.0
2020-09-24,321.22,326.797,319.8,323.5,298.289169720269,76681332,0.0000,1.0
2020-09-25,322.58,329.58,321.64,328.73,303.11158813645756,71069426,0.0000,1.0
2020-09-28,333.22,334.96,332.15,334.19,308.1460823147347,64584614,0.0000,1.0
2020-09-29,333.97,334.77,331.6209,332.37,306.46791758864236,51531594,0.0000,1.0
2020-09-30,333.09,338.29,332.88,334.89,308.7915302863087,104081136,0.0000,1.0
2020-10-01,337.69,338.74,335.01,337.04,310.77397762757175,88698745,0.0000,1.0
2020-10-02,331.7,337.0126,331.19,333.84,307.82335832894773,89431112,0.0000,1.0
2020-10-05,336.06,339.96,336.01,339.76,313.2820040314021,45713108,0.0000,1.0
2020-10-06,339.91,342.17,334.38,334.93,308.82841302754156,90128883,0.0000,1.0
